Date;Price;;;
14/3/2024;75;;;
13/3/2024;71,45;;;
12/3/2024;71,4;;;
11/3/2024;73,2;;;
08/3/2024;77,25;;;
07/3/2024;79,5;;;
06/3/2024;82,5;;;
05/3/2024;79,5;;;
04/3/2024;74,35;;;
01/3/2024;73,75;;;
29/2/2024;74;;;
28/2/2024;74,9;;;
27/2/2024;68,9;;;
26/2/2024;66,75;;;
23/2/2024;65,75;;;
22/2/2024;66,7;;;
21/2/2024;68;;;
20/2/2024;69;;;
19/2/2024;69,25;;;
16/2/2024;71,35;;;
15/2/2024;73,5;;;
14/2/2024;71,75;;;
13/2/2024;73;;;
12/2/2024;73,25;;;
09/2/2024;74,5;;;
08/2/2024;76,55;;;
07/2/2024;77,25;;;
06/2/2024;78,7;;;
05/2/2024;79,7;;;
02/2/2024;79,75;;;
01/2/2024;79,9;;;
31/1/2024;78,6;;;
30/1/2024;77,9;;;
29/1/2024;77;;;
26/1/2024;76,25;;;
25/1/2024;77;;;
24/1/2024;79,7;;;
23/1/2024;75,5;;;
22/1/2024;74,65;;;
19/1/2024;77,75;;;
18/1/2024;76,8;;;
17/1/2024;76,25;;;
16/1/2024;79,75;;;
15/1/2024;81;;;
12/1/2024;82,25;;;
11/1/2024;82,5;;;
10/1/2024;82,65;;;
09/1/2024;84;;;
05/1/2024;90;;;
04/1/2024;88,35;;;
03/1/2024;89,75;;;
02/1/2024;88,25;;;
29/12/2023;90,75;;;
28/12/2023;90,5;;;
27/12/2023;95,5;;;
22/12/2023;91,5;;;
21/12/2023;91;;;
20/12/2023;89;;;
19/12/2023;86;;;
18/12/2023;90,5;;;
15/12/2023;88,2;;;
14/12/2023;90,45;;;
13/12/2023;90,75;;;
12/12/2023;90;;;
11/12/2023;91,75;;;
08/12/2023;97,36;;;
07/12/2023;101;;;
06/12/2023;99;;;
05/12/2023;101;;;
04/12/2023;102,5;;;
01/12/2023;106,8;;;
30/11/2023;104,5;;;
29/11/2023;105,4;;;
28/11/2023;109,65;;;
27/11/2023;112;;;
24/11/2023;117,25;;;
23/11/2023;116,5;;;
22/11/2023;113,5;;;
21/11/2023;116,9;;;
20/11/2023;120,5;;;
17/11/2023;117;;;
16/11/2023;121;;;
15/11/2023;124,75;;;
14/11/2023;121,5;;;
13/11/2023;118,5;;;
10/11/2023;118,85;;;
09/11/2023;118;;;
08/11/2023;116,5;;;
07/11/2023;119;;;
06/11/2023;119,5;;;
03/11/2023;122,65;;;
02/11/2023;121,75;;;
01/11/2023;122;;;
31/10/2023;124,5;;;
30/10/2023;131,9;;;
27/10/2023;133,2;;;
26/10/2023;132;;;
25/10/2023;134,5;;;
23/10/2023;139,25;;;
20/10/2023;142,5;;;
19/10/2023;140;;;
18/10/2023;140;;;
17/10/2023;138,25;;;
16/10/2023;142,5;;;
13/10/2023;148;;;
12/10/2023;138,5;;;
11/10/2023;135,75;;;
10/10/2023;131,5;;;
09/10/2023;128,93;;;
06/10/2023;121,5;;;
05/10/2023;121;;;
04/10/2023;121,6;;;
03/10/2023;121;;;
02/10/2023;125;;;
29/9/2023;128,25;;;
28/9/2023;131;;;
27/9/2023;130,75;;;
26/9/2023;133;;;
25/9/2023;136,5;;;
22/9/2023;134,5;;;
21/9/2023;133,15;;;
20/9/2023;132,35;;;
19/9/2023;130,78;;;
